series id ,series.title,description,site.channel,primary.channel.sub.channel, average monthly total users (June - Sep 17) 
979,Countdown to UFC,"After months of training it all comes down to Fight Week.  Countdown focuses on the most heavily anticipated bouts on the fight card.  It all comes down to one night.  See what it takes as UFC¨ fighters prepare physically, mentally and strategically as they prepare for their night in the Octagonª.  Countdown goes behind the scenes and takes you into the lives of fighters as they prepare for one of the biggest nights in their lives.",Action and Adventure~Martial Arts|Sports~Fighting and Martial Arts,Action and Adventure~Martial Arts,699038
980,The Rockford Files,"James Rockford, after spending time in prison, now spends his time as a private detective.",Drama~Crime and Courtroom Drama|Drama~Mystery|Classics|Family,Drama~Crime and Courtroom Drama,4208439
981,Underground,A look beneath the surface at underreported and under-covered stories in the United States.,News and Information|Documentaries,News and Information,5814537
982,The Practice,"Set in Boston, the award-winning ""The Practice"" centers on the passionate attorneys of Donnell, Young, Dole & Frutt. To these lawyers, every case is important and every client worth a fight to the bitter end. Legal maneuvering is the firm's modus operandi and they have it down to a science, making even the most questionable arguments seem convincing. And while they can't - and don't - win every trial, the pursuit of justice remains the priority until the final verdict is announced...and sometimes afterwards. Pursuing justice, however, often confronts the firm with serious ethical and moral issues of conscience. ""The Practice"" is one of television's most acclaimed series. The popular drama has won a Golden Globe Award for Best Drama Series, a Peabody Award, Viewers for Quality Television Award, was nominated several times for Emmy awards (winning twice) and received an American Bar Association Silver Gavel Award, among many others.",Drama~Crime and Courtroom Drama|Drama~Mystery,Drama~Crime and Courtroom Drama,3080268
983,GANGSTA.,"Working independently, taking jobs from both the mafia and police, the charming Worick and super-powered Nicolas are unique Handy Men who navigate the seedy underworld of Ergastulum in style leaving a trail of chaos behind them.",Anime~Anime - Action Adventure,Anime~Anime - Action Adventure,897298
984,McLeod's Daughters,McLeod's Daughters tells the story of two sisters who are reunited when they inherit a vast outback cattle property in South Australia. Thrown together after 20 years apart they pull together an all-female workforce and commit to an extraordinary life at Drover's Run.,Drama|International|International~Australian,Drama,1493945
985,Career Canines,"Man's best friends continue to surprise humans with their loyalty, compassion, and fearlessness. A cornerstone to a canine's psychology is its sense of purpose -- simply put, dogs like to have a job.",News and Information,News and Information,9649237
986,Time for Bed with Punam Patel,"Punam Patel discusses favorite bedtime stories and their deeper meaning. From Goldilocks's behaviourial issues to Little Red Riding Hood related fashion choices, no topic is off limits for the Punam and her guests ranging from McG to Lisa Schwartz.",News and Information~Talk and Interview|Comedy,News and Information~Talk and Interview,584593
987,God Eater,"The Far East, 2071.The domain of the mad gods.In the early 2050s, unknown life forms called ÒOracle cellsÓ begin their uncontrolled consumption of all life on Earth.Their ravenous appetite and remarkable adaptability earn them first dread, then awe, and finally the name ÒaragamiÓ.In the face of an enemy completely immune to conventional weapons, urban civilization collapses, and each day humanity is driven further and further toward extinction.One single ray of hope remains for humanity.Following the development of ÒGod ArcsÓ?living weapons which incorporate Oracle cells?their wielders are organized into an elite force.In a world ravaged by mad gods, these ÒGod EatersÓ fight a desperate war...",Anime~Anime - Action Adventure|Anime~Anime - Science Fiction,Anime~Anime - Action Adventure,9722859
988,Qwaser of Stigmata,"When Mafuyu and her sister rescue a wounded man, they have no idea what theyÕre getting into. Alexander Nikolaevith Hell is an Iron Qwaser, one of many super-warriors who use the elements as weapons. Unfortunately, AlexanderÕs presence puts her friends and family amid a battle for the fate of mankind! WhatÕs worse, the nursing MafuyuÕs already given Alexander isnÕt the only kind he needs! Get ready for one wild ride as the courage within a womanÕs breast unleashes mayhem in The Qwaser of Stigmata!",Anime~Anime - Action Adventure|Anime~Anime - Romance|International~Japanese,Anime~Anime - Action Adventure,302670
989,The Defiant Ones,This four-part docu-series explores the unlikely but ultimately unbreakable bond between Jimmy Iovine and Dr. Dre.,Documentaries,Documentaries,5928619
990,Merlin,The adventures of the legendary sorcerer as a young man.,Drama|International~British,Drama,9005384
991,MI-5,"Welcome to MI-5, the UKÕs clandestine security service _ a team of counterterrorism spies dealing with threats ranging from terrorist plots to arms smuggling, and outwitting the worldÕs most dangerous criminal minds with their powers of deception.",Action and Adventure|Drama|International~British,Action and Adventure,9859591
992,To Love ru,"Rito Yuki had no idea the planet Develuke even existed when their Princess Lala teleported into his bathtub, but now he finds himselft to be engaged to the beautiful girl with a pointed tail. Problem: various aliens are showing up on missions of varying hostile intent. Worse, the girl that Rito REALLY loves is still completely unaware of his feelings!",Anime~Anime - Science Fiction|International~Japanese,Anime~Anime - Science Fiction,2640897
993,Space Dandy,"Space Dandy is pompadour sporting adventurer who travels the galaxy in search of undiscovered aliens. Each new species earns Dandy a hefty reward, but he'd better be quick on his feet because it's first come _ first served!",Anime~Anime - Science Fiction|International~Japanese,Anime~Anime - Science Fiction,4120642
994,Dana White: LookinÕ for a Fight,"UFC President Dana White travels around the country with his friends, sampling the best in local food, fun and fights as he scouts up-and-coming MMA talent.",Sports~Fighting and Martial Arts,Sports~Fighting and Martial Arts,4296454
995,"The Heart, She Holler","A hillbilly Twin Peaks set in America's holler.  Starring Patton Oswalt. Boss Hoss Heartshe owns 98.5% of Heartshe Holler and keeps the other 1.5% in a hidey hole.  Upon his death, the hole is opened to reveal a secret Son. Watch as the blood grubbing heirs and cash thirsty rivals wrestle for every sort of supremacy that power provides.",Comedy,Comedy,3391704
996,"Tiny House, Big Living","Couples learn what it really means to downsize when they take the plunge into the tiny house real estate market. At an average size of only 180 square feet, watch as clients meet with their builders, or decide to build these tiny homes all by themselves, and follow along through the construction process until the house is complete.",Reality and Game Shows|Lifestyle~Home and Garden|Family,Reality and Game Shows,6873808
997,Man v. Food,Adam Richman is no competitive eater but just a guy with a serious appetite. He's on a mouthwatering journey to find America's greatest pig-out spots and take on the country's most legendary eating challenges. This is Man vs Food.,Food~Cooking Competitions|Lifestyle~Travel,Food~Cooking Competitions,2463407
998,The Guest Book,"Different guests visit the same remote cabin in a remote a small, mountain town. The Guest Book is based on fictitious stories Greg Garcia had been writing in the guest books of various rental cabins in an effort to freak out the next renters. Garcia will write all 10 episodes and will executive produce the TV series, which centers on a small-town vacation home and its visitors. The house and cast of characters living in this mountain town remain ???????the same, with each episode featuring a different set of guests renting the house.",Comedy,Comedy,9212950
999,Party of Five,"After the tragic death of his parents, Bailey (sixteen), his two younger sisters and their baby brother are left in the care of the eldest but least dependable sibling Charlie, who is only twenty-four. As they try to adjust to a new life, their inheritance edges toward bankruptcy. It's up to the Salinger kids to pull together as they tackle modern-day adult life and the challenges of growing-up.",Drama|Teen,Drama,144241
1000,I Spy (2003),"Your favorite Scholastic picture-riddle books come to life in this animated play-along adventures series for kids! Join Spyler, Cece, Duck, Wheeler and other characters in this colorful and interactive TV experience. Each episode is divided into two fun-filled adventure stories in which Spyler and Cece attempt to find the four hidden objects featured in a riddle.",Kids,Kids,4407047
1001,Counting Cars,"Most people in Las Vegas bet with chips, but Danny ""The Count"" Koker bets with cars. Known from his numerous appearances on Pawn Stars, this Sin City legend walks, talks and breathes classic American muscle cars.",Reality and Game Shows~Real Life Drama,Reality and Game Shows~Real Life Drama,7988152
1002,21 Jump Street,"It all begins here, as baby-faced rookie Officer Tom Hanson (Johnny Depp) is assigned to an elite squad of young undercover cops - Judy Hoffs (Holly Robinson Peete), Doug Penhall (Peter DeLuise) and Harry Truman Ioki (Dustin Nguyen) - to infiltrate high schools and fight crime. Frederic Forrest and Steven Williams co-star in this classic first season that also features such guest stars as Jason Priestley, Josh Brolin, David Paymer, Sherilyn Fenn and Blair Underwood in what became FoxÕs first runaway hit and remains one of the coolest cop shows in TV history!",Drama~Crime and Courtroom Drama|Action and Adventure~80s Action|Family,Drama~Crime and Courtroom Drama,4135976
1003,Bunnytown (Espa–ol),"Bunnytown es un encantador show musical, de comedia y de variedades lleno de conejitos coloridos y brillantes, y unos cuantos personajes humanos que viven dentro y alrededor de Bunnytown (una peque–a ciudad de conejitos con casas, escuelas, autos, autobuses, tiendas, etc) y Peopletown (donde viven, juegan y trabajan Red, Fred y Pinky Pinkerton). El show est‡ lleno de canciones, historias, rutinas c—micas y bromas continuas (una broma que se extiende durante varios segmentos). Tambi_n hay ocurrentes secuencias dirigidas al pœblico joven para que aprendan los nœmeros, las formas geom_tricas y palabras.",Animation and Cartoons|Kids|Latino,Animation and Cartoons,8450095
1004,Manhattan,"Set against the backdrop of the mission to build the world's first atomic bomb, MANHATTAN follows the brilliant but flawed scientists and their families as they attempt to co-exist in a world where secrets and lies infiltrate every aspect of their lives.",Drama,Drama,5143287
1005,Elfen Lied,"Lucy is a psychopathic killer with powers beyond any humans. Nyu is a helpless child with no memories. Both could not be farther apart, but both find themselves inside the same body. Two students that have taken in Nyu find their world being turned around as the government sets out to kill Lucy. A strange story of romance and chaos as innocence and darkness collide in a series like nothing youÕve ever seen.",Anime~Anime - Science Fiction|International~Japanese,Anime~Anime - Science Fiction,9914839
1006,Coppelion,"From the team that brought you K comes the new sci-fi action series COPPELION, a story of three youths who vow to save the lives of those forsaken by the rest of the world. In the not-so-distant future, a catastrophic event has turned the old capital of Japan into a wasteland, forever changing the lives of its people. Decades later, three schoolgirls set foot into the now forsaken city. They are the Coppelion, genetically engineered humans created by the Japan Ground Self-Defense Force to operate under the lethal conditions of the contaminated city. Trained since birth, the girls must use all of their skills and resources to carry out their one and only mission: to rescue those left behind.",Anime|Anime~Anime - Science Fiction|Anime~Anime - Action Adventure|International~Japanese,Anime,8011399
1007,Tiny Beats,A group of little ladybugs find one another by following the sounds coming from different objects they are hiding behind.  This fun-filled series helps children realize that different objects produce different sounds.,Animation and Cartoons|Kids,Animation and Cartoons,4885563
1008,Blackadder,"Many great men have helped shape Britain's noble heritage. Others, like Edmund Blackadder (Rowan Atkinson), have not. From coward to cad and back again, Edmund surfaces throughout history with an assortment of cunning plans and serpentine banter.",International~British|Comedy~British Comedy,International~British,6225465
1009,War & Peace,"Set against the backdrop of NapoleonÕs 1812 invasion of Russia, ""War and Peace"" is a story of passion, romance, scandal, and deceit surrounding the rising and falling fortunes of five aristocratic families _ the Bezukhovs, Bolkonskys, Drubetskoys, Kuragins and Rostovs _ in the waning days of imperial Russia.",Drama|International~British,Drama,4174941
1010,Inside the NFL,"Emmy  winning weekly show with the most experienced, articulate and connected analysts in the business. Get expert insight, exclusive commentary and special on and off the field features. Every team. Every game. Every week.",Sports,Sports,998125
1011,Puppy Dog Pals,"Two fun-loving Pug puppies, Bingo and Rolly, are brothers with an appetite for adventure! Whether it's helping their owner Bob or aiding an animal friend-in-need, their ""pawsome"" missions take the pups all around the neighborhood and even around the world! No matter where they go, Bingo and Rolly know that life is so much more exciting (and a lot more silly) with your best friend and brother by your side.",Animation and Cartoons|Family,Animation and Cartoons,98005
1012,BabyFirst's Wake-Up Time,"Start your morning with a great breakfast, fun songs, and your favorite BabyFirst characters!",Kids,Kids,9051436
1013,"I Couldn't Become a Hero, So I Reluctantly Decided to Get a Job","Raul had always wanted to be a hero, but the demon king was defeated, leading to the end of hero exams. He reluctantly took a job working at a small electronics store called Magic Shop Leon. His life is dull but busy until a new girl comes applying for a part time job. She's the daughter of the defeated demon king.",Anime~Anime - Fantasy|Anime~Anime - Comedy|Anime~Anime - Romance|International~Japanese,Anime~Anime - Fantasy,2128465
1014,Vice,The taboo-breaking team from VICE deliver incredible news stories from around the world in this HBO series.,News and Information|Documentaries,News and Information,2051348
1015,CMA Fest 2017,"Filmed during CMA Music Festival June 8-11 in Nashville, the special features many of today's most exciting country music stars, as they hit the stage during the four-day celebration of America's music. The annual event is unlike any other, with meet-and-greets in Fan Fair X, live music on 11 stages, hundreds of artists and celebrities, and a guest list of 88,500 avid singing-and-dancing-till dawn fans.",News and Information~Live Events and Specials|Music,News and Information~Live Events and Specials,1716439
1016,City Homicide,"A committed and resourceful team of fearless homicide cops investigate action-packed murder mysteries and solve them with hard work, intuition and panache.",Drama~Police Drama|International~Australian,Drama~Police Drama,5957884
1017,FLCL,"Naota's a bit quirky, but he can still pass for normal. Haruko's totally quirky and she'll never pass for normal. When she runs over Naota with her motorscooter and brains him with a bass guitar, his world doesn't get turned upside down - It gets incredibly weird. There's nothing else in the world like FLCL. This one's going to change your life.",Anime|International~Japanese,Anime,1424920
1018,The Loop,"As we reach our early 20s and face the daunting challenges of real life, there are those who choose to embark on a career path and those who'd rather goof off with pals. And then, every so often, there's someone who sets out to do both. Set in Chicago, The Loop is the story of Sam (Bret Harrison), the youngest executive at the corporate headquarters of a major airline, and the first of his friends to get a real job. He must find a way to straddle his serious career and the serious social demands of his three roommates: Sully (Eric Christian Olsen), is Sam's older and rowdier brother, whose casual attempts to hold down a series of odd jobs are eclipsed by his attempts to land women. Roommate Piper (Amanda Loncar) is a medical student, Sam's college pal and -- unbeknownst to her -- his longtime crush. And roommate Lizzy (Sarah Mason), who tends bar at their local hangout, is oblivious to the fact that everything always goes her way because she's so smoking hot. As Sam strives to meet the relentless demands of his boss Russ (Philip Baker Hall), dodge the nonstop advances of his colleague Meryl (Mimi Rogers), manage his overqualified and somewhat bitter secretary Darcy (Joy Osmanski), and turn his best-friendship with Piper into romance, he is, by turns, ambitious, exhausted and inspired. Moreover, he is a hero for everyone who has ever tried to work hard and play hard at the same time.",Comedy~Sitcoms,Comedy~Sitcoms,7888798
1019,Saved by the Bell: Hawaiian Style,"Kelly's grandfather invites the kids to his hotel in Hawaii. Unfortunately, his hotel is in danger for being bought out for larger development.",Family|Comedy~Sitcoms|Teen,Family,7550839
1020,The I.T. Crowd,"In the age-old clash of IT vs. the corporation, a pair of basement-dwelling dweebs squares off against their cloddish owner-come-lately, with their ambitious but tech-illiterate manager running interference.",Comedy~British Comedy|International~British,Comedy~British Comedy,4324614
1021,That Girl,"That Girl, which catapulted Marlo Thomas to stardom, ran on ABC-TV from 1966 to 1971. A top-rated sitcom throughout its entire run, it told the story of aspiring actress Ann Marie, who moves to New York and works at a series of jobs while waiting for her big break in show business. Although she is focused on her career, Ann finds time to fall for magazine executive Donald Hollinger, played by Ted Bessell. ""That Girl"" featured a wonderful lineup of guest stars, including Dabney Coleman, Rob Reiner, Richard Dreyfuss, Carroll O'Connor, Teri Garr, Ethel Merman, Rob Reiner, Bill Bixby, Dick Shawn, Garry Marshall, Sid Caesar, Danny Thomas, McLean Stevenson, Monty Hall, Jack Cassidy, Carl Reiner, Pat Boone, Cloris Leachman, Kenneth Mars, and Regis Philbin. In the 1960s, it was groundbreaking for a series to feature a single woman in the working world. Marlo Thomas and ""That Girl"" helped pave the way for future TV shows like, ""The Mary Tyler Moore Show,Ó ""Murphy Brown,"" ""Ally McBeal,"" and ""New Girl.Ó ""That Girl"" was developed by writers Bill Persky and Sam Denoff, who had served as writers on, among others, The Dick Van Dyke Show.",Comedy~Sitcoms,Comedy~Sitcoms,5843011
1022,Vanderpump Rules: Jax and Brittany Take Kentucky,"Follow bad-boy bartender Jax Taylor and his southern belle girlfriend Brittany Cartwright as they head on vacation, leaving the comfortable confines of Los Angeles to visit her family on their Kentucky farm. Ditching his signature chunky sweater for overalls, city-boy Jax is the ultimate fish out of water as he tries to embrace the southern lifestyle and make a lasting impression on her family and friends.",Reality and Game Shows~Guilty Pleasure,Reality and Game Shows~Guilty Pleasure,6959669
1023,Kimi Ni Todoke: From Me to You,"Sawako Kuronuma has had a difficult time fitting in. Is it her long black hair, her hushed manner of speaking, or is it her name's similarity to Sadako, a character from a popular Japanese horror series?",Animation and Cartoons|International~Japanese|Anime~Anime - Romance,Animation and Cartoons,2181142
1024,Notorious,Jake and Julia's relationship is inspired by the real-life friendship between famed criminal defense attorney Mark Geragos and award-winning cable news producer Wendy Walker. Their professional alliance has influenced some of America's most infamous moments in recent history.,Drama,Drama,7784827
1025,Sky Wizards Academy,"Once known as the ""Black Master Swordsman,"" Kanata Age is now considered a traitor and is assigned to lead an F-class of mismatched mages. It's too bad his three new students think he's a pervert.",Anime~Anime - Action Adventure,Anime~Anime - Action Adventure,6094923
1026,Samurai Harem,"His skill with a sword is magnificent but his SOCIAL skills need a LOT of work! After many long years perfecting the art of fighting, 17-year-old Yoichi Karasuma is sent down from the remote mountains to begin new training. But what he's really going to learn about are more practical things, like electrical appliances, modern clothing and, most especially, how NOT to make girls to want to kill you. That last lesson is one Yoichi may not survive, as his new dojo is infested with the infernal creatures in the form of the Ikaruga sisters.",Anime~Anime - Drama|International~Japanese,Anime~Anime - Drama,3414861
1027,Bloomberg Game Changers,"Get an insider's perspective on the business and media leaders who climbed to the top, and changed our world. Bloomberg Game Changers, an original documentary series, profiles personalities who have re-defined technology, finance, politics and culture for our time.",News and Information~Business,News and Information~Business,9810325
1028,The Notekins,"Step into the magical world of music in ÒThe NotekinsÓ. This delightful series features seven little characters that represent each of the seven musical notes. In each episode, the Notekins are invited to visit a musical instrument friend and encounter basic music lessons along the way. Young viewers will be introduced to concepts such as pitch and tempo. ÒThe NotekinsÓ is sure to have toddlers singing and dancing!",Kids,Kids,6514803
1029,Blood-C,"Saya's cheerful, clumsy exterior makes her well-liked at school, and she works hard to help out at her father's shrine. However, her sunny disposition hides a secret: she spends her nights wielding a sacred blade against demonic monsters.",Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Fantasy,1785765
1030,Hunter,"Hunter Stars former football pro Fred Dryer as Rick Hunter, a mobster's son who has grown up to become a thoroughly incorruptible LAPD detective sergeant.  Hunter's ""Dirty Harry"" tactics and his flagrant flouting of the rules have earned him thousands of loyal supporters and an equal number of bitter enemies - the latter on both sides of the law.  Though the higher-ups would prefer that Hunter pack up his bottomless arsenal of weaponry and his pithy ""My my day""-style catchphrases (notably ""Works for me"") and leave town, he is obviously the one man capable of battling the pimps, pushers, and dealers destroying the city.  Season 1 Introduces his partner, Sgt. Dee Dee McCall (Stepfanie Kramer), better known ""the brass cupcake"".",Drama~Crime and Courtroom Drama|Action and Adventure~80s Action,Drama~Crime and Courtroom Drama,1322597
1031,The First 48,"For homicide detectives, the clock starts ticking the moment they are called. Their chance of solving a case is cut in half if they don't get a lead in 'The First 48.' Each passing hour gives suspects more time to flee, witnesses more time to forget what they saw, and crucial evidence more time to be lost forever.",Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,9070969
1032,Tiger & Bunny,"The city of Stern Bild is protected by corporate superheroes known as NEXT, who fight crime while promoting their sponsors on the popular show ÒHERO TV.Ó Veteran hero Wild Tiger relies on his years of experience and instincts to fight crime, but his tendency to destroy public property for the sake of protecting the lives of the innocent has earned him the nickname ÒCrusher for Justice.Ó Now, under orders from his new employer, Wild Tiger finds himself forced to team up with Barnaby Brooks Jr., a rookie with an attitude. Two polar opposites work to fight evil in this thrilling buddy-hero action series!",Anime~Anime - Action Adventure|Anime~Anime - Science Fiction|International~Japanese,Anime~Anime - Action Adventure,7962820
1033,Maya & Miguel en Espa–ol,"Maya & Miguel narra las aventuras hilarantes de los gemelos de 10 a–os de edad,  Maya y Miguel Santos, junto con sus familiares, parientes, y una vecindad ricamente diversa de amigos. Esta situaci—n de comedia que nunca es aburrida, gira en torno a la bien intencionada Maya que se entromete en la vida familiar y de sus amigos, que en œltimas la llev— a crearse nuevos problemas para resolver. El mensaje subyacente es la  importancia de hacer el bien para la familia y la comunidad, y la filosof’a que compartir la felicidad es mayor que el beneficio personal.",Animation and Cartoons|Kids|Latino,Animation and Cartoons,3138853
1034,New York Goes To Work,"Tiffany 'New York' Pollard returns to the spotlight, as she takes on the business world, tackling jobs as voted upon by America",Reality and Game Shows~Real Life Drama,Reality and Game Shows~Real Life Drama,1411529
1035,DuckTales,"Huey, Dewey, and Louie are in for an epic surprise when they meet their wealthy but reclusive uncle, Scrooge McDuck. The family _ including Donald Duck, Webby, Mrs. Beakley, and Launchpad _ embark on globe-trotting adventures and treasure hunts, uncover family secrets, and face dangerous enemies bent on tearing them apart.",Animation and Cartoons|Kids|Family,Animation and Cartoons,3390144
1036,The Office (U.K.),"The Office is a scathing satire of corporate life - full of backfiring practical jokes, failed flirting and all around bad behavior. Starring Ricky Gervais and Martin Freeman, this mockumentary series is one of the most renowned comedies of all time.",Comedy~British Comedy|International~British,Comedy~British Comedy,259011
1037,Brothers Conflict,"Hinata Ema is the only daughter of a famous adventurer. When her father decides to remarry, she leaves the newlyweds alone and moves in with her 13 new stepbrothers, who each have a unique personality. Is love in the air for Hinata, too?",Anime~Anime - Romance|International~Japanese,Anime~Anime - Romance,28983
1038,Eli Stone,"High-powered attorney Eli Stone thought he had it all _ great job, cool car, the perfect fianc_e _ until he started hearing unexplained music everywhere he went. Thanks to some wild and astonishing visions, Eli is trading in his big-money clients to represent the little guys. As his hallucinations grow more vivid, he is propelled to answer the larger question of his true destiny.",Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,7946414
1039,McHale's Navy,Lt. Commander McHale and his oddball crew fight in the South Pacific during World War II.,Comedy~Sitcoms|Classics,Comedy~Sitcoms,6394874
1040,House of Lies,"Charming, fast talking Marty Kaan and his crack team of management consultants use every dirty trick in the book to woo powerful CEOs and close huge deals in this scathing, irreverent satire of corporate America today.",Comedy|Drama,Comedy,9364905
1041,Ergo Proxy,"The domed city of Romdo is supposed to be perfect, but Re-l Mayer, a young female inspector from the Civilian Intelligence Office, knows better. In this place where humans and robots coexist, she receives a strange message - something is awakening.",Anime~Anime - Action Adventure|Action and Adventure|Science Fiction|International~Japanese,Anime~Anime - Action Adventure,6561652
1042,Peekaboo I See You!,"The game of peek-a-boo has entertained babies and toddlers alike for years and years! In ÒPeekaboo, I See You!Ó, the friendly blue fellow swings, rolls, bounces, summersaults and tiptoes into the hearts of little ones. Each episode features three objects and viewers get to guess which one heÕs hiding behind. The series is sure to result in giggles and surprises.",Kids,Kids,179785
1043,Suits,"In Suits, one of Manhattan's top corporate lawyers (Gabriel Macht) sets out to recruit a new hotshot associate and hires the only guyÊthat impresses him, a brilliant but unmotivated college dropout (Patrick J. Adams). Though he isn't actually a lawyer, this legal prodigy has the book smarts of a Harvard law grad and the street smarts of a hustler.  However, in order to serve justice and save their jobs, both these unconventional thinkers must continue the charade.",Drama,Drama,8803087
1044,Lord Marksman and Vanadis,"Tigre, a young noble, is captured by a beautiful female general from an enemy country. Though enchanting, her curves aren't the only dangerous thing about her. She's backed by an army of desirable warrior-goddesses called the Vanadis!",Anime~Anime - Action Adventure|Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Action Adventure,4495835
1045,Dark Shadows (1966),"With its alluring tales of Gothic mystery and supernatural intrigue, Dark Shadows became one of the most popular daytime series of all time. Since first airing on ABC-TV from 1966 to 1971, Dark Shadows has earned the reputation of being one of the most unusual and enduring programs in television history. The character of Barnabas Collins, a guilt-ridden, 175-year-old vampire, brought the show tremendous success.",Drama~Soap Operas|Horror and Suspense~Vampires,Drama~Soap Operas,4963512
1046,Grandpa Joe's Magical Playground,"Grandpa Joe uses his magical building blocks to create wonderful and surprising animals and toys with the help of Joy, Dylan and his loyal dog Pepper.  Listen to Grandpa's magic words which bring the blocks to life and the real fun begins.",Kids,Kids,9137185
1047,Get Ace,"Think Ace McDougal is just your average, everyday nerdy school kid? Well he was, until he happened to be in the wrong dentistÕs chair at the wrong time and accidentally said the wrong secret codeword... next thing he knew heÕd been fitted with a set of top secret, ultra high-tech experimental braces. From that moment on heÕs catapulted - teeth-first - into one hair-raising adventure after another! Now heÕs the kid proving youÕre never too nerdy to be cool!",Animation and Cartoons|Kids,Animation and Cartoons,9263641
1048,Damages,"A rising star lawyer crosses paths with a cutthroat veteran attorney who will stop at nothing to win the cases she handles, even if it means manipulating and endangering the family and friends of those around her.",Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,9193120
1049,Shahs of Sunset,"Shahs of Sunset follows a group of friends who are trying to juggle their active social lives and up-and-coming careers while balancing the demands of their families and traditions.  These passionate socialites are fervent on the dating and party scene, but seeking approval from their family they face pressures to settle down and marry within the community. From outings on Rodeo Drive to traditional Persian feasts at home, this series celebrates the unique lifestyle of a group of friends who have worked hard for what they have and are not afraid to flaunt it.",Reality and Game Shows,Reality and Game Shows,9275010
1050,Impractical Jokers: Inside Jokes,"Impractical Jokers: Inside Jokes packs classic, fan-favorite episodes of the show with shareable pop-up facts throughout. With behind-the-scenes stories and surprising factoids directly from the Jokers, this alternate version of existing content will give viewers a unique and unprecedented look behind the curtain.",Comedy,Comedy,6321016
1051,The Bomber,"In this award-winning action series a soviet aircraft crashes on Nazi-occupied territory. The pilot and his beloved radio operator miraculously survive, along with the flight navigator. It is now up to each of them to put their military training into action to escape the enemy forces. In the fight to get back to their own troops, they uncover an act of sabotage by a commanding officer, and are branded as traitors.",Action and Adventure~Military and War|Drama,Action and Adventure~Military and War,8744385
1052,Sweet Dreams: Lullabies Music And Art,"Perfect for nap time or bed time, Sweet Dreams features shows with classical music and beautiful images. The soft programming is sure to help prepare your child for a restful time.",Kids,Kids,1153415
1053,Who Shot Biggie & Tupac?,Who Shot Biggie & Tupac? is an investigative crime special examining two of the greatest murder mysteries in pop culture history.,Documentaries,Documentaries,9773098
1054,Secrets of Your Mind,"Secrets of Your Mind explores the mystery and the science of the brain through a range of extraordinary case studies. Each installment focuses on a different research area, including love's impact on the brain, violence and the brain, medical emergencies involving the brain, and food and the brain.",News and Information,News and Information,4326268
1055,Boston EMS,Follow the proud men and women of AmericaÕs most seasoned team of first responders: the first step in the chain of trauma care.,Drama,Drama,3104945
1056,PJ Masks,"Join Connor, Amaya and Greg on their superhero adventures as they save the daytime from baddies messing up the night. With the power of their animal amulets, Greg becomes Gekko, Amaya becomes Owlette, and Connor becomes Catboy! Their outfits may look like pajamas, but they're really the PJ Masks! So look out, Night Time Baddies -- the PJ Masks are coming!",Animation and Cartoons|Action and Adventure,Animation and Cartoons,6045859
1057,The Sopranos,James Gandolfini stars in this acclaimed series about a mob boss whose professional and private strains land him in therapy.,Drama~Crime and Courtroom Drama,Drama~Crime and Courtroom Drama,5507474
1058,WE Day,"Catch a star-studded lineup of inspiring young Americans, chart-topping performers, and iconic celebs including Jennifer Hudson, Common, Selena Gomez, The Band Perry, Tyrese Gibson, Demi Lovato, Nick Jonas, Colbie Caillat, Paul Rudd,  Macklemore and so many more.",Music~Bands|Music~Concerts|News and Information~Live Events and Specials,Music~Bands,5887962
1059,Shakugan no Shana,"Yuji Sakai learns there is more to the world than school and finding a girlfriend when he meets a sword-wielding girl with fiery red eyes and flame-colored hair. It's up to the Flame Haze, Shana, to slay the invading denizens of the Crimson Realm.",Anime|International~Japanese,Anime,6435906
1060,Whitechapel,"Modern Whitechapel is experiencing d_jˆ vu with a series of murders that exactly copy those of perpetrated by Jack the Ripper. Can Detective Chandler, a rookie when it comes to murder cases, bring safety back to the streets of Whitechapel?",Drama~Mystery|International~British,Drama~Mystery,5608487
1061,Matador,DEA agent Tony Bravo is recruited by the CIA to participate in tryouts for the LA Riot in order to spy on the team's corrupt owner.,Action and Adventure,Action and Adventure,4878863
1062,Campione,"After defeating the God of War in mortal combat, 16 year old Kusanagi Godo is stuck with the position of Campione, or God Slayer. His new duty is to fight Herectical Gods, which really means he has to deal with a bevy of overly-worshippy female followers while trying not to become roadkill on the Highway to Heaven. Get ready for immortal affairs, heavenly harems and lots of dueling deities as the ultimate smash, bash and thrash of the Titans rocks both Heaven and Earth in Campione!",Anime~Anime - Fantasy|International~Japanese,Anime~Anime - Fantasy,3784334
1063,30 for 30,"Inspired by ESPNÕs anniversary, ESPN FilmsÕ 30 for 30 is an unprecedented documentary series featuring films from some of todayÕs finest storytellers. Own select films from this acclaimed series today.",Documentaries|Sports,Documentaries,5377698
